player_id,player_name,season,league,team,position,position_group,age,nation,salary_annual_gross_eur,salary_available,score_available,matches_played,starts,minutes,nineties,minutes_bucket,data_quality_note,goals,assists,shots,shots_on_target,shot_on_target_pct,key_passes,goal_creating_actions,shot_creating_actions,tackles,tackles_won,blocks,interceptions,recoveries,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,overall_role_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,current_salary_annual_gross_eur,predicted_next_salary_annual_gross_eur,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,salary_efficiency_score,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,value_reason_summary,similarity_vector_available,similarity_base_score,style_attack_score,style_passing_score,style_defense_score,style_value_score,age_band,salary_band,minutes_band,is_u23,is_prime_age,is_veteran,is_regular_1500min
2025-2026|ligue1|rennes|jeremyjacquet,Jeremy Jacquet,2025-2026,Ligue 1,Rennes,DF,DF,20,fr FRA,910000,true,true,19,19,1671,18.6,rotation,shot_creating_actions_imputed;recoveries_imputed,0,0,0,0,0,0,88,0.91,29,-2,17,17,3.03,67.94,52,93.92,100,91.89,63.87,70.34,63.89,82.07,72.51,0,69.38,56.78,66.59,94.73,91.93,66.14,84.52,69.38,0,910000,1510000,baseline_percentile_v1_pending_model_fe,75,600000,65.93,94.76,undervalued,저평가,68.53,44.27,26.13,46.19,53.87,baseline percentile compares role percentile 44.27 with salary percentile 26.13; final model result is pending.,true,69.38,67.94,95.03,70.34,94.76,u21,500k_1_5m,starter,true,false,false,true
2025-2026|ligue1|rennes|kadermeite,Kader Meite,2025-2026,Ligue 1,Rennes,FW,FW,17,fr FRA,270000,true,true,17,6,535,5.9,limited,shot_creating_actions_imputed;recoveries_imputed,3,0,2,5,3,0,52,0.91,5,9,4,2,3.03,56.41,61.67,75.78,100,67.7,29.79,44.43,54.78,74.51,45.07,0,60.09,60.09,42.03,79.01,88.53,46.16,74.64,47.21,0,270000,1140000,baseline_percentile_v1_pending_model_fe,75,870000,322.22,100,undervalued,저평가,81.66,40.6,7.42,9.8,34.8,baseline percentile compares role percentile 40.6 with salary percentile 7.42; final model result is pending.,true,60.09,56.41,80.22,44.43,100,u21,under_500k,rotation,true,false,false,false
2025-2026|ligue1|rennes|lilianbrassier,Lilian Brassier,2025-2026,Ligue 1,Rennes,DF,DF,25,fr FRA,2730000,true,true,27,25,2250,25,regular,shot_creating_actions_imputed;recoveries_imputed,0,0,1,1,0,0,87,0.91,35,12,21,13,3.03,70.54,63.44,91.28,100,88.37,67.51,71.91,74.23,89.53,74.64,0,73.31,65.57,69.45,92.44,95.29,72.07,88.27,73.31,0,2730000,1890000,baseline_percentile_v1_pending_model_fe,75,-840000,-30.77,26.13,overvalued,고평가,39.33,53.47,66.53,83.01,73.87,baseline percentile compares role percentile 53.47 with salary percentile 66.53; final model result is pending.,true,73.31,70.54,92.88,71.91,26.13,25_27,1_5m_3m,starter,false,true,false,true
2025-2026|ligue1|rennes|ludovicblas,Ludovic Blas,2025-2026,Ligue 1,Rennes,"MF,FW",MF,27,fr FRA,4550000,true,true,32,15,1546,17.2,rotation,shot_creating_actions_imputed;recoveries_imputed,5,0,4,9,3,0,77,0.91,30,-3,27,10,3.03,83.41,90.24,86.43,100,81.9,65.14,69.98,61.77,82.38,71.5,0,84.57,88.19,72.5,88.24,92.07,65.32,84.57,68.38,0,4550000,4000000,baseline_percentile_v1_pending_model_fe,75,-550000,-12.09,41.31,fair,적정,46.73,80.76,84.83,94.12,58,baseline percentile compares role percentile 80.76 with salary percentile 84.83; final model result is pending.,true,84.57,83.41,88.92,69.98,41.31,25_27,3m_6m,starter,false,true,false,true
2025-2026|ligue1|rennes|mahamadounagida,Mahamadou Nagida,2025-2026,Ligue 1,Rennes,DF,DF,20,cm CMR,360000,true,true,19,7,805,8.9,limited,shot_creating_actions_imputed;recoveries_imputed,0,0,0,0,0,0,84,0.91,14,2,11,12,3.03,60.17,52,84.6,100,79.47,40.34,52.63,53.84,70.67,59.98,0,55.14,54.45,49.74,86.65,86.8,50.72,74.96,55.14,0,360000,730000,baseline_percentile_v1_pending_model_fe,75,370000,102.78,92.28,undervalued,저평가,59.01,19.2,8,14.6,28.13,baseline percentile compares role percentile 19.2 with salary percentile 8; final model result is pending.,true,55.14,60.17,87.42,52.63,92.28,u21,under_500k,rotation,true,false,false,false
2025-2026|ligue1|rennes|mahdicamara,Mahdi Camara,2025-2026,Ligue 1,Rennes,MF,MF,27,fr FRA,2910000,true,true,32,31,2653,29.5,regular,shot_creating_actions_imputed;recoveries_imputed,3,0,1,4,3,0,85,0.91,41,13,28,33,3.03,83.48,72.79,95.48,100,93.97,87.49,89.92,91.87,96.82,84.8,0,90.31,76,86.57,96.08,98.57,90.31,96.05,88.87,0,2910000,7210167,baseline_percentile_v1_pending_model_fe,75,4300167,147.77,99.5,undervalued,저평가,76.42,92.14,69.84,84.75,91.21,baseline percentile compares role percentile 92.14 with salary percentile 69.84; final model result is pending.,true,90.31,83.48,96.31,89.92,99.5,25_27,1_5m_3m,core,false,true,false,true
2025-2026|ligue1|rennes|mathyssilistrie,Mathys Silistrie,2025-2026,Ligue 1,Rennes,GK,GK,19,fr FRA,360000,true,true,2,2,180,2,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,0,0,0,0,0,0,90,0.91,6,-4,0,0,3.03,82.09,96.08,59.55,27.36,51.55,40.71,55.71,51.89,24.87,53.64,18.75,49.84,91.88,58.19,48.7,26.24,50.99,33.33,54.13,18.75,360000,360000,baseline_percentile_v1_pending_model_fe,75,0,0,49.66,fair,적정,46.25,10.99,11.52,14.6,17.8,baseline percentile compares role percentile 10.99 with salary percentile 11.52; final model result is pending.,true,49.84,82.09,47.09,55.71,49.66,u21,under_500k,low,true,false,false,false
2025-2026|ligue1|rennes|mousaaltamari,Mousa Al-Tamari,2025-2026,Ligue 1,Rennes,"MF,FW",MF,28,jo JOR,2180000,true,true,33,25,2212,24.6,regular,shot_creating_actions_imputed;recoveries_imputed,6,0,6,12,6,0,79,0.91,32,13,27,16,3.03,87.29,94.51,88.73,100,84.98,72.52,76.78,80.01,91.93,76.19,0,90.23,92.34,78.54,90.23,96.37,77.38,90.56,77.41,0,2180000,7040000,baseline_percentile_v1_pending_model_fe,75,4860000,222.94,100,undervalued,저평가,84.13,91.95,60.87,77.12,80.48,baseline percentile compares role percentile 91.95 with salary percentile 60.87; final model result is pending.,true,90.23,87.29,90.8,76.78,100,28_30,1_5m_3m,starter,false,true,false,true
2025-2026|ligue1|rennes|nordanmukiele,Nordan Mukiele,2025-2026,Ligue 1,Rennes,MF,MF,19,fr FRA,180000,true,true,8,0,96,1.1,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,1,0,0,1,1,0,0,0.91,0,4,2,0,3.03,48.74,46.43,71.67,100,62.22,6.18,25.08,36.19,62.36,28.37,0,47.12,47.12,24.86,75.44,83.06,26.3,64.33,28.84,0,180000,660000,baseline_percentile_v1_pending_model_fe,75,480000,266.67,95.47,undervalued,저평가,61.71,19.15,3.05,6.75,6.11,baseline percentile compares role percentile 19.15 with salary percentile 3.05; final model result is pending.,true,47.12,48.74,76.86,25.08,95.47,u21,under_500k,low,true,false,false,false
2025-2026|ligue1|rennes|przemyslawfrankowski,Przemyslaw Frankowski,2025-2026,Ligue 1,Rennes,"MF,DF",MF,30,pl POL,3090000,true,true,19,15,1210,13.4,rotation,shot_creating_actions_imputed;recoveries_imputed,1,0,2,3,1,0,75,0.91,16,4,10,25,3.03,63.89,60.93,84.4,100,79.2,52.11,64.01,68.51,79.4,60.3,0,64.02,61.82,58.61,86.48,90.73,63.66,81.73,64.02,0,3090000,1250000,baseline_percentile_v1_pending_model_fe,75,-1840000,-59.55,0,overvalued,고평가,17.7,40.06,71.97,85.84,46.07,baseline percentile compares role percentile 40.06 with salary percentile 71.97; final model result is pending.,true,64.02,63.89,87.26,64.01,0,28_30,3m_6m,rotation,false,false,true,false
