player_id,stats_row_id,player_name,nation,team,league,league_country,position,position_group,age,matches_played,starts,minutes,nineties,salary_annual_gross_eur,salary_total_gross_eur,salary_status,salary_active,salary_loan,salary_verified,salary_available,score_available,minutes_bucket,data_quality_note,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,overall_role_score,current_salary_annual_gross_eur,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,salary_efficiency_score,predicted_next_salary_annual_gross_eur,predicted_next_salary_log,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,value_reason_summary
2025-2026|laliga|celtavigo|daminrodrguez,STAT-13454,Dami?n Rodr?guez,es ESP,Celta Vigo,La Liga,Spain,MF,MF,22,2,2,150,1.7,210000,273000,Inactive,false,false,false,true,true,low_sample,low_minutes;passing_proxy_limited,47.96,36.2,78.47,70.62,79.07,63.76,35.27,43.86,57.8,24.28,21.11,39.73,53.32,76.72,64.85,44.83,56.01,34.12,0.0,53.32,210000,58.37,4.52,2.87,14.55,100,2080000,,baseline_percentile_v1,60,1870000,890.48,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 58.4, 연봉 percentile은 4.5로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 890.5%입니다. 현재 분류는 저평가이며 예측 신뢰도는 60.0/100입니다."
2025-2026|laliga|celtavigo|ferlpez,STAT-12737,Fer L?pez,es ESP,Celta Vigo,La Liga,Spain,"MF,FW",MF,21,17,13,1170,13,750000,940000,Loan,true,true,false,true,true,rotation,passing_proxy_limited,52.46,51.34,54.68,63.08,55.88,70.73,51.39,45.86,60.15,53.26,53.26,51.68,61.38,57.2,61.76,52.77,58.84,50.57,0.0,57.2,750000,72.27,22.59,20.08,51.9,99.87,3130000,,baseline_percentile_v1,90,2380000,317.33,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 72.3, 연봉 percentile은 22.6로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 317.3%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|ferranjutgl,STAT-12500,Ferran Jutgl?,es ESP,Celta Vigo,La Liga,Spain,FW,FW,26,30,21,1652,18.4,2290000,2870000,Active,true,false,false,true,true,rotation,passing_proxy_limited,68.95,80.38,38.21,44.66,40.92,50.07,45.12,44.8,54.54,57.22,79.82,76.95,54.74,40.77,49.11,45.97,49.22,48.67,0.0,49.11,2290000,36.59,63.71,67.11,78.93,25.77,1040000,,baseline_percentile_v1,90,-1250000,-54.59,5.08,overvalued,고평가,"같은 포지션 기준 성능 percentile은 36.6, 연봉 percentile은 63.7로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -54.6%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|franbeltrn,STAT-11485,Fran Beltr?n,es ESP,Celta Vigo,La Liga,Spain,MF,MF,26,10,7,528,5.9,2500000,3130000,Active,true,false,false,true,true,limited,passing_proxy_limited,44.64,36.2,66.02,65.82,67.45,50.82,27.16,39.29,57.98,33.66,34.28,38.73,44.23,66.47,62.29,37.35,52.63,32.14,0.0,44.23,2500000,23.52,65.6,70.94,29.1,5.83,800000,,baseline_percentile_v1,80,-1700000,-68,0,overvalued,고평가,"같은 포지션 기준 성능 percentile은 23.5, 연봉 percentile은 65.6로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -68.0%입니다. 현재 분류는 고평가이며 예측 신뢰도는 80.0/100입니다."
2025-2026|laliga|celtavigo|hugogarca,STAT-12169,Hugo Garc?a,es ESP,Celta Vigo,La Liga,Spain,MF,MF,18,1,0,8,0.1,,,,,,,false,true,low_sample,low_minutes;salary_unavailable;missing_safe_stats:1;passing_proxy_limited,36.03,36.2,26.76,4.55,40.26,6.47,7.43,8.08,6.18,24.28,9.52,36.15,15.53,25.93,5.28,7.53,6.0,12.65,0.0,12.65,,1.62,,,1.21,,150000,,baseline_percentile_v1,50,,,,unknown,평가 불가,연봉 또는 성능 데이터가 부족해 평가를 확정하기 어렵습니다.
2025-2026|laliga|celtavigo|hugogonzlez,STAT-12235,Hugo Gonz?lez,es ESP,Celta Vigo,La Liga,Spain,FW,FW,22,1,0,8,0.1,,,,,,,false,true,low_sample,low_minutes;salary_unavailable;missing_safe_stats:1;passing_proxy_limited,35.01,34.43,29.12,8.89,33.14,12.07,43.08,50.32,13.84,36.91,14.98,34.6,25.15,25.47,11.12,40.14,19.66,43.04,0.0,25.47,,3.45,,,1.92,,170000,,baseline_percentile_v1,50,,,,unknown,평가 불가,연봉 또는 성능 데이터가 부족해 평가를 확정하기 어렵습니다.
2025-2026|laliga|celtavigo|hugolvarez,STAT-11303,Hugo ?lvarez,es ESP,Celta Vigo,La Liga,Spain,"FW,MF",FW,22,28,15,1340,14.9,940000,1170000,Active,true,false,false,true,true,rotation,passing_proxy_limited,54.21,58.48,40.51,44.21,40.42,44.27,60.4,69.5,52.03,41.99,68.69,57.2,50.48,41.4,47.73,61.27,51.78,57.15,0.0,51.78,940000,46.74,35.65,29.45,71.46,63.24,1390000,,baseline_percentile_v1,90,450000,47.87,81.14,undervalued,저평가,"같은 포지션 기준 성능 percentile은 46.7, 연봉 percentile은 35.6로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 47.9%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|hugosotelo,STAT-13689,Hugo Sotelo,es ESP,Celta Vigo,La Liga,Spain,MF,MF,21,20,16,1338,14.9,730000,920000,Active,true,false,false,true,true,rotation,passing_proxy_limited,46.82,45.28,47.08,60.33,46.08,68.3,56.19,63.71,59.88,42.99,58.03,45.74,59.43,50.04,60.13,62.0,59.09,54.11,0.0,59.09,730000,78.58,21.03,19.89,57.56,100,3700000,,baseline_percentile_v1,90,2970000,406.85,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 78.6, 연봉 percentile은 21.0로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 406.8%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|iagoaspas,STAT-11372,Iago Aspas,es ESP,Celta Vigo,La Liga,Spain,"FW,MF",FW,37,32,11,1140,12.7,2920000,3650000,Active,true,false,true,true,true,rotation,passing_proxy_limited,70.58,76.87,52.12,40.42,51.72,24.26,51.78,57.93,47.78,47.4,62.7,74.98,43.66,49.05,43.73,49.04,46.57,52.0,0.0,49.04,2920000,36.4,71.1,73.8,66.28,16.93,1040000,,baseline_percentile_v1,90,-1880000,-64.38,0,overvalued,고평가,"같은 포지션 기준 성능 percentile은 36.4, 연봉 percentile은 71.1로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -64.4%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|ilaixmoriba,STAT-13020,Ilaix Moriba,gn GUI,Celta Vigo,La Liga,Spain,MF,MF,22,36,26,2495,27.7,1350000,1680000,Active,true,false,false,true,true,regular,passing_proxy_limited,45.86,53.09,24.22,48.58,26.02,58.98,60.26,53.97,57.49,66.15,83.14,50.92,55.3,30.94,52.59,57.17,55.51,60.45,0.0,55.3,1350000,65.08,43.53,44.74,89.33,75.48,2450000,,baseline_percentile_v1,90,1100000,81.48,99.01,undervalued,저평가,"같은 포지션 기준 성능 percentile은 65.1, 연봉 percentile은 43.5로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 81.5%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
