salary_target_eur,fe_log_salary_target_eur,minutes,nineties,matches,starts,fe_start_rate,fe_is_regular_1500min,goals,assists,fe_goal_contribution,fe_goal_contribution_per90,stats_age,fe_age_squared,fe_is_prime_age_24_29,fe_is_young_prospect_u23,fe_salary_vs_league_mean,fe_salary_vs_club_mean,fe_club_mean_salary_target_eur,fe_league_mean_salary_target_eur,pos_DF,pos_FW,pos_GK,pos_MF
1320000.0,14.093143,2799.0,31.1,34.0,31.0,0.911765,1.0,3.0,0.0,3.0,0.096463,27.0,729.0,1.0,0.0,0.554942,1.033043,1277777.777778,2378628.738298,0.0,0.0,0.0,1.0
470000.0,13.06049,636.0,7.1,14.0,6.0,0.428571,0.0,2.0,0.0,2.0,0.28169,20.0,400.0,0.0,1.0,0.197593,0.367826,1277777.777778,2378628.738298,0.0,1.0,0.0,0.0
1510000.0,14.227621,414.0,4.6,14.0,2.0,0.142857,0.0,1.0,0.0,1.0,0.217391,27.0,729.0,1.0,0.0,0.63482,1.181739,1277777.777778,2378628.738298,0.0,0.0,0.0,1.0
470000.0,13.06049,47.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,361.0,0.0,1.0,0.197593,0.367826,1277777.777778,2378628.738298,0.0,1.0,0.0,0.0
570000.0,13.253393,248.0,2.8,6.0,2.0,0.333333,0.0,0.0,0.0,0.0,0.0,25.0,625.0,1.0,0.0,0.239634,0.446087,1277777.777778,2378628.738298,0.0,0.0,0.0,1.0
5660000.0,15.548935,1462.0,16.2,24.0,16.0,0.666667,0.0,3.0,0.0,3.0,0.185185,21.0,441.0,0.0,1.0,2.379522,0.59005,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
15000000.0,16.523561,525.0,5.8,13.0,6.0,0.461538,0.0,1.0,0.0,1.0,0.172414,24.0,576.0,1.0,0.0,6.306154,1.563738,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
230000.0,12.345839,143.0,1.6,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,17.0,289.0,0.0,1.0,0.096694,0.023977,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
10000000.0,16.118096,1794.0,19.9,24.0,21.0,0.875,1.0,1.0,0.0,1.0,0.050251,26.0,676.0,1.0,0.0,4.204103,1.042492,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
230000.0,12.345839,116.0,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,324.0,0.0,1.0,0.096694,0.185197,1241923.076923,2378628.738298,0.0,0.0,0.0,1.0
25000000.0,17.034386,2377.0,26.4,31.0,25.0,0.806452,1.0,36.0,0.0,36.0,1.363636,32.0,1024.0,0.0,0.0,10.510257,2.60623,9592400.0,2378628.738298,0.0,1.0,0.0,0.0
3770000.0,15.142586,920.0,10.2,16.0,10.0,0.625,0.0,1.0,0.0,1.0,0.098039,26.0,676.0,1.0,0.0,1.584947,0.393019,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
20750000.0,16.848057,683.0,7.6,15.0,7.0,0.466667,0.0,3.0,0.0,3.0,0.394737,22.0,484.0,0.0,1.0,8.723514,2.163171,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
1502118.0,14.222387,60.0,0.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,324.0,0.0,1.0,0.320122,0.395257,3800358.541667,4692329.188912,0.0,1.0,0.0,0.0
1320000.0,14.093143,1111.0,12.3,14.0,11.0,0.785714,0.0,0.0,9.0,9.0,0.731707,21.0,441.0,0.0,1.0,0.554942,0.137609,9592400.0,2378628.738298,0.0,0.0,1.0,0.0
12000000.0,16.300417,2018.0,22.4,28.0,23.0,0.821429,1.0,2.0,0.0,2.0,0.089286,29.0,841.0,1.0,0.0,5.044923,1.25099,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
20000000.0,16.811243,2280.0,25.3,29.0,24.0,0.827586,1.0,2.0,0.0,2.0,0.079051,30.0,900.0,0.0,0.0,8.408206,2.084984,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
6600000.0,15.70258,1857.0,20.6,26.0,19.0,0.730769,1.0,2.0,0.0,2.0,0.097087,25.0,625.0,1.0,0.0,2.774708,0.688045,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
12000000.0,16.300417,1602.0,17.8,25.0,19.0,0.76,1.0,1.0,0.0,1.0,0.05618,28.0,784.0,1.0,0.0,5.044923,1.25099,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
9000000.0,16.012735,1994.0,22.2,29.0,22.0,0.758621,1.0,3.0,0.0,3.0,0.135135,28.0,784.0,1.0,0.0,3.783693,0.938243,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
2000000.0,14.508658,1281.0,14.2,26.0,16.0,0.615385,0.0,5.0,0.0,5.0,0.352113,17.0,289.0,0.0,1.0,0.840821,0.208498,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
13000000.0,16.38046,1947.0,21.6,31.0,25.0,0.806452,1.0,5.0,0.0,5.0,0.231481,30.0,900.0,0.0,0.0,5.465334,1.35524,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
14000000.0,16.454568,2447.0,27.2,32.0,27.0,0.84375,1.0,15.0,0.0,15.0,0.551471,28.0,784.0,1.0,0.0,5.885744,1.459489,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
21000000.0,16.860033,1859.0,20.7,22.0,22.0,1.0,1.0,0.0,19.0,19.0,0.917874,39.0,1521.0,0.0,0.0,8.828616,2.189233,9592400.0,2378628.738298,0.0,0.0,1.0,0.0
13510000.0,16.418941,2316.0,25.7,32.0,23.0,0.71875,1.0,15.0,0.0,15.0,0.583658,23.0,529.0,0.0,1.0,5.679743,1.408407,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
7550000.0,15.837058,1007.0,11.2,23.0,12.0,0.521739,0.0,8.0,0.0,8.0,0.714286,24.0,576.0,1.0,0.0,3.174098,0.787081,9592400.0,2378628.738298,0.0,1.0,0.0,0.0
8000000.0,15.894952,784.0,8.7,18.0,8.0,0.444444,0.0,5.0,0.0,5.0,0.574713,31.0,961.0,0.0,0.0,3.363282,0.833994,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
1420000.0,14.166168,463.0,5.1,9.0,5.0,0.555556,0.0,0.0,0.0,0.0,0.0,24.0,576.0,1.0,0.0,0.596983,0.148034,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
